iter	Passed	Remaining
0	2	213
1	4	202
2	6	197
3	7	184
4	9	182
5	11	180
6	13	180
7	15	179
8	17	177
9	19	176
10	21	173
11	23	171
12	25	169
13	26	165
14	28	162
15	30	158
16	31	154
17	32	149
18	34	146
19	35	142
20	36	138
21	37	133
22	38	130
23	39	126
24	40	122
25	41	119
26	42	116
27	43	113
28	44	109
29	45	107
30	46	104
31	47	101
32	48	98
33	49	95
34	50	92
35	50	90
36	51	88
37	52	85
38	53	83
39	54	81
40	55	79
41	55	76
42	56	74
43	57	72
44	58	71
45	59	69
46	59	67
47	60	65
48	61	64
49	62	62
50	63	60
51	64	59
52	65	57
53	65	56
54	66	54
55	67	52
56	68	51
57	68	49
58	69	48
59	70	47
60	71	45
61	72	44
62	73	43
63	74	41
64	75	40
65	76	39
66	77	38
67	78	36
68	79	35
69	80	34
70	80	33
71	81	31
72	82	30
73	83	29
74	84	28
75	85	26
76	85	25
77	86	24
78	87	23
79	88	22
80	88	20
81	89	19
82	90	18
83	90	17
84	91	16
85	92	15
86	93	13
87	93	12
88	94	11
89	95	10
90	96	9
91	96	8
92	97	7
93	98	6
94	99	5
95	99	4
96	100	3
97	101	2
98	102	1
99	102	0
